timecode,blendShapeCount,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,jawForward,jawRight,jawLeft,jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthRight,mouthLeft,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthDimpleLeft,mouthDimpleRight,mouthStretchLeft,mouthStretchRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressLeft,mouthPressRight,mouthLowerDownLeft,mouthLowerDownRight,mouthUpperUpLeft,mouthUpperUpRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,tongueOut,headYaw,headPitch,headRoll,leftEyeYaw,leftEyePitch,leftEyeRoll,rightEyeYaw,rightEyePitch,rightEyeRoll
00:00:00:01,51,0.23708513,0.43930689,0.01360372,0.22227509,0.01683121,0.56768894,0.00297922,0.16683806,0.42647177,0.21456873,0.01642104,0.01344301,0.30816373,0.00252304,0.00005039,0.00002906,0.00408538,0.01827434,0.00607931,0.00082380,0.05363219,0.00062576,0.00190977,0.00009145,0.00006883,0.00017811,0.00016275,0.00116761,0.00209034,0.00103383,0.00054826,0.01142889,0.01496287,0.00357789,0.00134105,0.01635555,0.01275926,0.00048081,0.00041653,0.00002510,0.00003529,0.00000034,0.06601617,0.01352597,0.06299075,0.04669728,0.00001304,0.00000006,0.00000015,0.00000067,0.00000034,0,0.07916529867723651,-0.02996020269865305,-0.02932049020168202,0.47137776017189026,0.486261785030365,0,0.5714300870895386,0.49135416746139526,0
00:00:00:02,51,0.21602499,0.42915019,0.01479633,0.21400371,0.01786011,0.56047928,0.00323757,0.16280192,0.40782234,0.20622809,0.01628285,0.01422589,0.32149583,0.00252899,0.00004992,0.00002519,0.00401458,0.01813683,0.00549952,0.00063189,0.03387154,0.00053073,0.00187413,0.00010584,0.00009047,0.00021307,0.00019828,0.00109530,0.00254469,0.00101963,0.00067532,0.01302182,0.01676164,0.00383211,0.00133009,0.01749625,0.01843984,0.00053832,0.00042917,0.00002693,0.00004242,0.00000036,0.05905193,0.01573679,0.07356218,0.04793737,0.00001343,0.00000006,0.00000015,0.00000064,0.00000036,0,0.0823918522366735,-0.029311672456065637,-0.03152183488371507,0.47165989875793457,0.48590025305747986,0,0.5713421106338501,0.4913829267024994,0
00:00:00:03,51,0.20363569,0.44874263,0.01224978,0.23596710,0.01670198,0.52989328,0.00367059,0.14870904,0.42596784,0.22959596,0.01501415,0.01250800,0.30012003,0.00279675,0.00005188,0.00002291,0.00340332,0.01583060,0.00503806,0.00063306,0.03136848,0.00037786,0.00225856,0.00012700,0.00010966,0.00036421,0.00035506,0.00095865,0.00172430,0.00133165,0.00102092,0.01000223,0.01181798,0.00405281,0.00170366,0.01448597,0.01513442,0.00045468,0.00037938,0.00004325,0.00006559,0.00000040,0.05735203,0.01445589,0.08277480,0.05185486,0.00001291,0.00000006,0.00000015,0.00000070,0.00000040,0,0.08716012966396082,-0.0276896101896888,-0.03176920257416897,0.4714495539665222,0.48644429445266724,0,0.57123863697052,0.4916872978210449,0
00:00:00:04,51,0.25379077,0.51273721,0.01264163,0.23146822,0.01242812,0.55309856,0.00285878,0.18880802,0.50120288,0.22666959,0.01585802,0.00921939,0.29209262,0.00220639,0.00006136,0.00003070,0.00418852,0.01560315,0.00451415,0.00136654,0.09620868,0.00102204,0.00141926,0.00007173,0.00007329,0.00012790,0.00009755,0.00064286,0.00382704,0.00086277,0.00037377,0.00740480,0.01100462,0.00201409,0.00139025,0.00708248,0.01181254,0.00079641,0.00053542,0.00002983,0.00005553,0.00000029,0.05904475,0.01900707,0.08040756,0.05124432,0.00001264,0.00000006,0.00000010,0.00000079,0.00000029,0,0.08714488140957136,-0.023815890767247987,-0.030808279343145877,0.471219539642334,0.4866672456264496,0,0.5718200206756592,0.49223756790161133,0
00:00:00:05,51,0.21104631,0.46062276,0.01166010,0.22873366,0.01556727,0.56337500,0.00320706,0.17500891,0.43810499,0.22212172,0.01615114,0.01088430,0.29391107,0.00198416,0.00005502,0.00001627,0.00498464,0.01984646,0.00547986,0.00045195,0.01262265,0.00052797,0.00159445,0.00023504,0.00023307,0.00023057,0.00019894,0.00124309,0.00585834,0.00102468,0.00063451,0.02143306,0.01602069,0.00680414,0.00181264,0.03315723,0.04976674,0.00068700,0.00050986,0.00004236,0.00008083,0.00000040,0.06516882,0.01012384,0.06546007,0.04683415,0.00001964,0.00000006,0.00000014,0.00000049,0.00000040,0,0.08090574657389264,-0.028058295545108823,-0.028248737874111505,0.4716827869415283,0.4854997396469116,0,0.5714537501335144,0.49000871181488037,0
00:00:00:06,51,0.22600442,0.47220144,0.02121384,0.18499921,0.01376646,0.51041961,0.00290107,0.16780581,0.45096460,0.17049469,0.01583331,0.01117192,0.30113924,0.00224541,0.00004319,0.00001961,0.00458290,0.01581731,0.00483761,0.00084306,0.05296193,0.00037311,0.00273707,0.00009805,0.00009714,0.00018048,0.00018423,0.00108860,0.00291667,0.00066037,0.00070083,0.01136315,0.01092804,0.00464753,0.00201907,0.01023989,0.01622750,0.00047612,0.00036784,0.00004478,0.00007295,0.00000029,0.09548619,0.00743456,0.03680364,0.03332890,0.00001065,0.00000006,0.00000013,0.00000061,0.00000029,0,0.09014305219199478,-0.02503472763841347,-0.030483457076780157,0.47282105684280396,0.4832945168018341,0,0.5705115795135498,0.48919084668159485,0
00:00:00:07,51,0.24234511,0.49473014,0.02390207,0.18046889,0.01368850,0.52555513,0.00287661,0.19327857,0.47199261,0.16226156,0.01616282,0.00997103,0.26772273,0.00185157,0.00003490,0.00003593,0.00413883,0.01742101,0.00551735,0.00112815,0.12458098,0.00096359,0.00199527,0.00004300,0.00004507,0.00005436,0.00005643,0.00127167,0.00385311,0.00025758,0.00036104,0.01349929,0.01725553,0.00476943,0.00179654,0.00863543,0.01207674,0.00037412,0.00031138,0.00002281,0.00004414,0.00000019,0.09261063,0.00749840,0.03454659,0.03241194,0.00000912,0.00000005,0.00000012,0.00000065,0.00000019,0,0.06587650601804526,-0.027525893993738573,-0.024183961456763502,0.4732101559638977,0.48469293117523193,0,0.5706063508987427,0.48860761523246765,0
00:00:00:08,51,0.27873814,0.48283285,0.03177131,0.12964688,0.01765662,0.50546074,0.00253651,0.30296722,0.43825668,0.12400134,0.02457667,0.01181163,0.31840441,0.00081146,0.00002525,0.00003377,0.00634623,0.03396981,0.01002711,0.00039904,0.02265881,0.00067309,0.00161754,0.00005470,0.00005910,0.00010366,0.00012196,0.00174119,0.00692112,0.00022610,0.00050393,0.06117052,0.07426557,0.01266364,0.00162921,0.02561876,0.04637466,0.00038825,0.00028822,0.00001174,0.00002574,0.00000025,0.09768330,0.00510113,0.03541026,0.02493377,0.00001474,0.00000004,0.00000015,0.00000035,0.00000025,0,0.10250943095273758,-0.011363652767815724,-0.03100660566879237,0.47402840852737427,0.48241472244262695,0,0.5713441967964172,0.48709139227867126,0
00:00:00:09,51,0.23020232,0.39376107,0.02159060,0.14628664,0.02268170,0.49036744,0.00305365,0.21702547,0.36315861,0.14589866,0.02656484,0.01715548,0.31647781,0.00146723,0.00003916,0.00002633,0.00423799,0.02348903,0.00770538,0.00035676,0.01364167,0.00044828,0.00173707,0.00014496,0.00015105,0.00011813,0.00015288,0.00262481,0.00468990,0.00040846,0.00102933,0.03088788,0.03935144,0.00700868,0.00106325,0.03315926,0.04212958,0.00039666,0.00033292,0.00001408,0.00002394,0.00000032,0.10820547,0.00348736,0.03019504,0.02696729,0.00001536,0.00000004,0.00000017,0.00000035,0.00000032,0,0.0867128306008328,-0.018955368604353207,-0.029447608604654122,0.47314968705177307,0.4804268181324005,0,0.5716906785964966,0.48530495166778564,0
00:00:00:10,51,0.23770663,0.43686274,0.02419305,0.12839894,0.01901598,0.46267217,0.00283253,0.25690055,0.40022984,0.12383572,0.03265197,0.01348953,0.30027652,0.00114326,0.00002981,0.00001898,0.00492904,0.02222608,0.00706019,0.00023394,0.00907575,0.00051320,0.00158699,0.00017527,0.00016071,0.00016625,0.00018634,0.00268444,0.00621369,0.00059437,0.00080255,0.04582153,0.04532157,0.01320370,0.00115705,0.05709468,0.06201894,0.00030609,0.00025480,0.00001402,0.00002464,0.00000032,0.09666273,0.00355539,0.03908899,0.03396391,0.00001670,0.00000004,0.00000016,0.00000032,0.00000032,0,0.10207664339739413,-0.021944686993620715,-0.02903367482005204,0.47216758131980896,0.48114925622940063,0,0.5718457698822021,0.4855358600616455,0
00:00:00:11,51,0.26816854,0.47706565,0.07065044,0.06350096,0.01517932,0.46585813,0.00249692,0.26359946,0.45261666,0.04899956,0.07673895,0.01107656,0.28180590,0.00116145,0.00002650,0.00001844,0.00924747,0.02338764,0.00669059,0.00044088,0.03334059,0.00029548,0.00341654,0.00005344,0.00004955,0.00016985,0.00015507,0.00111598,0.00441621,0.00049386,0.00036251,0.03976278,0.03452179,0.01052255,0.00150445,0.01824502,0.03306433,0.00042296,0.00027869,0.00001341,0.00002565,0.00000025,0.10411888,0.00430107,0.03484531,0.03570787,0.00001352,0.00000004,0.00000013,0.00000033,0.00000025,0,0.11459819804533904,-0.013804752307751505,-0.03033933788283296,0.470510333776474,0.4806964099407196,0,0.5713698863983154,0.4860057830810547,0
