timecode,blendShapeCount,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,jawForward,jawRight,jawLeft,jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthRight,mouthLeft,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthDimpleLeft,mouthDimpleRight,mouthStretchLeft,mouthStretchRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressLeft,mouthPressRight,mouthLowerDownLeft,mouthLowerDownRight,mouthUpperUpLeft,mouthUpperUpRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,tongueOut,headYaw,headPitch,headRoll,leftEyeYaw,leftEyePitch,leftEyeRoll,rightEyeYaw,rightEyePitch,rightEyeRoll
00:00:00:01,51,0.09554421,0.05307351,0.05166953,0.08054619,0.17219916,0.41716835,0.00729554,0.08344475,0.05873817,0.08916908,0.03512479,0.17780434,0.42300138,0.00472177,0.00014556,0.00016201,0.01114094,0.37235230,0.01196635,0.00750099,0.02896597,0.00003019,0.00351762,0.00052620,0.00068187,0.00817531,0.01310445,0.00105562,0.00060338,0.00311564,0.02442086,0.00346378,0.00306676,0.00189163,0.01134901,0.00247326,0.00670975,0.00576490,0.00565429,0.00143448,0.00191094,0.00000171,0.03250747,0.00811077,0.22993301,0.04169743,0.00004814,0.00000054,0.00000035,0.00000150,0.00000171,0,0.01922092068980669,-0.012836877579916658,-0.025767607881953265,0.4739571511745453,0.4165489673614502,0,0.4739571511745453,0.4165489673614502,0
00:00:00:02,51,0.09191428,0.04226125,0.08659197,0.04056828,0.21027257,0.42586035,0.00804000,0.07035874,0.04467244,0.04837459,0.08095504,0.22309679,0.40598574,0.00561822,0.00017519,0.00021764,0.00801605,0.38019240,0.01156844,0.01309732,0.04022257,0.00008604,0.00138710,0.00093771,0.00100702,0.00535554,0.00841443,0.00169235,0.00051967,0.00435293,0.02281346,0.00287372,0.00225409,0.00113971,0.00962511,0.00355865,0.00423974,0.00616850,0.00790238,0.00172607,0.00167619,0.00000204,0.03053362,0.00813788,0.22613479,0.05221150,0.00006101,0.00000067,0.00000041,0.00000152,0.00000204,0,0.01598820578710435,-0.01795100517517473,-0.024552299953590255,0.4720567762851715,0.4163331687450409,0,0.4720567762851715,0.4163331687450409,0
00:00:00:03,51,0.11644302,0.04137600,0.10118982,0.03413743,0.20999530,0.45824349,0.00633027,0.10275867,0.04647161,0.04078161,0.09741616,0.21727931,0.41272599,0.00359701,0.00013138,0.00016988,0.01119637,0.36921370,0.01245120,0.01143007,0.05226946,0.00004206,0.00302587,0.00046639,0.00054594,0.00531742,0.00836099,0.00140462,0.00050495,0.00261269,0.01891512,0.00408542,0.00254637,0.00183652,0.01066888,0.00274315,0.00486255,0.00489003,0.00573747,0.00118501,0.00127310,0.00000177,0.03113799,0.00775684,0.15483758,0.05225215,0.00005143,0.00000055,0.00000036,0.00000133,0.00000177,0,0.012779797203452282,-0.020713574035552924,-0.022437495349090578,0.4710635542869568,0.41718003153800964,0,0.4710635542869568,0.41718003153800964,0
00:00:00:04,51,0.11645687,0.03768294,0.18285632,0.01950958,0.21611446,0.42738026,0.00597629,0.09749551,0.04085182,0.02136438,0.16800536,0.22873697,0.36450759,0.00353381,0.00012602,0.00017086,0.01270780,0.37321129,0.01041442,0.01170410,0.04094148,0.00003634,0.00382672,0.00040938,0.00048824,0.00296488,0.00415328,0.00116147,0.00060540,0.00223398,0.01037740,0.00370767,0.00334491,0.00148859,0.01072640,0.00257370,0.00574241,0.00600765,0.00615573,0.00117512,0.00138789,0.00000139,0.03671625,0.00706501,0.16241956,0.04691481,0.00004861,0.00000045,0.00000031,0.00000114,0.00000139,0,0.015354424825720029,-0.025119913529468813,-0.022792077661699175,0.47051310539245605,0.41753143072128296,0,0.47051310539245605,0.41753143072128296,0
00:00:00:05,51,0.10842907,0.05023269,0.16900201,0.01951461,0.18212204,0.47629315,0.00741113,0.08514608,0.05546644,0.02477653,0.16153516,0.18552266,0.36032850,0.00454635,0.00016839,0.00019935,0.01027244,0.38698721,0.01032766,0.01514916,0.05299079,0.00005341,0.00244914,0.00061174,0.00075194,0.00276221,0.00468440,0.00185256,0.00048252,0.00214926,0.02251917,0.00295403,0.00258663,0.00102339,0.00916399,0.00248824,0.00393925,0.00654401,0.00848997,0.00157762,0.00160223,0.00000191,0.03514507,0.00892644,0.13050558,0.04828627,0.00005431,0.00000055,0.00000042,0.00000142,0.00000191,0,0.015610449870529649,-0.020320226213142268,-0.018533639986422528,0.4713320732116699,0.4186336398124695,0,0.4713320732116699,0.4186336398124695,0
00:00:00:06,51,0.11068554,0.04943814,0.12250281,0.02835870,0.18957689,0.44790053,0.00667759,0.10564370,0.05449423,0.03617368,0.11478394,0.19017538,0.43523186,0.00368171,0.00019996,0.00017476,0.01064697,0.41260067,0.00943695,0.01170141,0.02811731,0.00002679,0.00396098,0.00120880,0.00154868,0.00509688,0.00845278,0.00202871,0.00064323,0.00384323,0.03953947,0.00275225,0.00222570,0.00116719,0.01130484,0.00308994,0.00631264,0.00783440,0.00973908,0.00224666,0.00256774,0.00000209,0.02726655,0.00761572,0.17359658,0.05650637,0.00006714,0.00000061,0.00000045,0.00000158,0.00000209,0,0.018222974506561317,-0.031199240642146873,-0.020485669701147315,0.47210827469825745,0.41747426986694336,0,0.47210827469825745,0.41747426986694336,0
00:00:00:07,51,0.09483316,0.04213228,0.15849884,0.02148346,0.21007304,0.46338204,0.00855712,0.07749337,0.04648630,0.02673853,0.15099062,0.21288346,0.36425096,0.00502441,0.00017712,0.00021323,0.01022613,0.40350693,0.00921191,0.01221644,0.04020908,0.00004572,0.00235477,0.00081878,0.00088302,0.00427637,0.00673777,0.00188250,0.00049410,0.00354165,0.02220448,0.00306412,0.00225311,0.00106203,0.00896487,0.00333120,0.00443842,0.00800902,0.01054659,0.00151611,0.00143555,0.00000200,0.03394400,0.00736698,0.14870352,0.05332644,0.00006872,0.00000057,0.00000043,0.00000152,0.00000200,0,0.010378187945474503,-0.03444852449731635,-0.0334185122622101,0.47229576110839844,0.41636067628860474,0,0.47229576110839844,0.41636067628860474,0
00:00:00:08,51,0.10269835,0.04367653,0.16654959,0.02094240,0.20071587,0.46308288,0.00744446,0.08922421,0.04866230,0.02505186,0.15852171,0.20321782,0.38212058,0.00413854,0.00022152,0.00013463,0.01637551,0.43108577,0.00924013,0.01400775,0.03203214,0.00002757,0.00417073,0.00147783,0.00171962,0.00147644,0.00229640,0.00319143,0.00087503,0.00274056,0.01842855,0.00240268,0.00220373,0.00063049,0.00600154,0.00372285,0.00606273,0.00996361,0.01352467,0.00124246,0.00117647,0.00000163,0.03874438,0.00764649,0.10918480,0.04798855,0.00007507,0.00000038,0.00000041,0.00000122,0.00000163,0,0.005811374122323022,-0.03043809629031326,-0.03691156102934318,0.47322526574134827,0.41684088110923767,0,0.47322526574134827,0.41684088110923767,0
00:00:00:09,51,0.09986231,0.04631364,0.14346792,0.02330962,0.19122322,0.47926709,0.00761455,0.10313639,0.05314476,0.02896838,0.13948251,0.19073541,0.41622508,0.00373597,0.00014774,0.00014041,0.01442182,0.39077300,0.01135116,0.01326048,0.04873371,0.00002875,0.00425030,0.00061819,0.00066597,0.00470646,0.00706901,0.00152587,0.00054493,0.00317338,0.01805895,0.00371725,0.00232085,0.00151927,0.00970709,0.00285065,0.00509386,0.00566737,0.00677783,0.00124659,0.00121570,0.00000186,0.04100216,0.00662423,0.10545848,0.04562296,0.00005918,0.00000056,0.00000041,0.00000124,0.00000186,0,0.0032777472277104613,-0.03845781139122117,-0.03784776195081165,0.47422313690185547,0.418628066778183,0,0.47422313690185547,0.418628066778183,0
00:00:00:10,51,0.10420272,0.03995374,0.12672129,0.02667964,0.20979169,0.46488062,0.00705670,0.09748416,0.04429970,0.03316525,0.12091467,0.21783191,0.40926513,0.00369139,0.00015785,0.00018324,0.01017892,0.37501845,0.01344798,0.01483720,0.05264908,0.00004947,0.00372114,0.00050817,0.00067898,0.00073899,0.00128280,0.00221632,0.00077398,0.00114860,0.01708268,0.00341585,0.00378303,0.00089126,0.00569829,0.00334518,0.00696108,0.00624030,0.00796915,0.00085166,0.00091980,0.00000118,0.02988664,0.00620236,0.15191555,0.05759966,0.00005005,0.00000037,0.00000040,0.00000118,0.00000118,0,0.0035879837323814882,-0.034031742452455396,-0.03212154694918596,0.4743637144565582,0.41867420077323914,0,0.4743637144565582,0.41867420077323914,0
