timecode,blendShapeCount,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,jawForward,jawRight,jawLeft,jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthRight,mouthLeft,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthDimpleLeft,mouthDimpleRight,mouthStretchLeft,mouthStretchRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressLeft,mouthPressRight,mouthLowerDownLeft,mouthLowerDownRight,mouthUpperUpLeft,mouthUpperUpRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,tongueOut,headYaw,headPitch,headRoll,leftEyeYaw,leftEyePitch,leftEyeRoll,rightEyeYaw,rightEyePitch,rightEyeRoll
00:00:02:917,61,0.42429207,0.07699632,0.12329013,0.10651407,0.88540425,0.71120499,0.9103314,0.9085262,0.05185314,0.3048989,0.95673412,0.22488633,0.05870591,0.95423534,0.58515153,0.54638079,0.85135449,0.31394822,0.33785995,0.10104064,0.6781368,0.6868743,0.96157946,0.7874669,0.24326338,0.95999438,0.2332389,0.63864903,0.0411533,0.30128832,0.83605242,0.89991176,0.65378156,0.76292331,0.29068543,0.50789293,0.64887039,0.70363392,0.6620002,0.04688443,0.38533778,0.51941652,0.92812464,0.29456686,0.727862,0.9904324,0.5695425,0.3594,0.35977349,0.81977729,0.14097988,0.56338089,0.68395067,0.03704921,0.09955439,0.76572753,0.91456267,0.2809215,0.27600555,0.20604064,0.42894346
00:00:02:944,61,0.06843243,0.28622164,0.59461941,0.48787343,0.19478059,0.90328321,0.0230626,0.34435095,0.3067385,0.20726815,0.41695796,0.93482616,0.1570997,0.75582298,0.62840608,0.77082281,0.80455895,0.4487999,0.86754821,0.20647715,0.19459172,0.47953627,0.5617397,0.42174409,0.28917749,0.17909262,0.19088222,0.15021652,0.76613375,0.67028892,0.95777146,0.65161715,0.26707966,0.90076951,0.03511708,0.85998768,0.92657371,0.47120805,0.90010272,0.07984321,0.08744198,0.93553019,0.5587149,0.95991317,0.20042422,0.40709071,0.76731099,0.02658329,0.24196134,0.55955028,0.80550098,0.46926459,0.96807264,0.38214461,0.70116674,0.57847143,0.7536488,0.72372351,0.68663797,0.5277509,0.2025275
00:00:02:965,61,0.04829539,0.57883223,0.6335405,0.2661296,0.46705609,0.56099768,0.58752266,0.31039796,0.3644651,0.76625077,0.09251653,0.92232041,0.1454576,0.9869138,0.15587917,0.01838792,0.51312905,0.35129846,0.23064147,0.99692897,0.9969163,0.85463823,0.32906523,0.23712726,0.70893842,0.56483785,0.78758273,0.95597676,0.44933669,0.9183096,0.39534997,0.2902433,0.63150099,0.40311347,0.5372724,0.21527122,0.1709853,0.16804365,0.16495672,0.98011322,0.6079021,0.5513551,0.98378774,0.47666366,0.58226165,0.23178508,0.64362303,0.90750076,0.68999675,0.80951949,0.52184713,0.22971261,0.25313705,0.33147508,0.00895959,0.43486677,0.16151182,0.2426924,0.84437467,0.71852295,0.52141708
00:00:02:987,61,0.93590846,0.31813,0.22575082,0.04850953,0.32260126,0.96015843,0.4842879,0.58615029,0.47935941,0.37506026,0.25501971,0.8754045,0.93780181,0.50797737,0.0385023,0.99341822,0.54670841,0.16919761,0.95480166,0.96204236,0.18178257,0.11531327,0.1400037,0.41359223,0.18268485,0.50572689,0.8467044,0.59292654,0.28795882,0.87969324,0.61122451,0.25126549,0.48686895,0.51935245,0.81907772,0.39517164,0.18537594,0.70622774,0.51711175,0.06236764,0.49774927,0.6590694,0.32611716,0.95960893,0.24038787,0.96310597,0.07822794,0.07713841,0.95421116,0.49884764,0.60763958,0.82672161,0.36535309,0.40018001,0.15369052,0.22577325,0.47239706,0.65481999,0.04042197,0.89847823,0.29078948
00:00:03:022,61,0.34354365,0.9859844,0.23412503,0.9096115,0.87928311,0.88727912,0.94291612,0.86181273,0.46226407,0.42776737,0.91261203,0.46052703,0.78662508,0.76154385,0.72133294,0.55269345,0.55260298,0.12847366,0.09394037,0.04260861,0.38895706,0.05368351,0.40212344,0.05037776,0.0004553,0.88665134,0.40243651,0.42708725,0.99866772,0.51195838,0.82832446,0.27628283,0.30085018,0.08705657,0.87061012,0.38269703,0.32548606,0.50703939,0.96330678,0.74678097,0.27118419,0.29245668,0.13825186,0.71933008,0.48427117,0.33661082,0.14566343,0.78106661,0.85018366,0.59620741,0.6160568,0.22278284,0.73222235,0.39713909,0.73009295,0.24770605,0.49750925,0.2099247,0.30278775,0.90222653,0.52922954
00:00:03:055,61,0.39921436,0.79029887,0.72379594,0.21926251,0.75226816,0.08427384,0.9590074,0.59004668,0.46102437,0.55381592,0.44649449,0.36372593,0.04593451,0.52139567,0.71882504,0.20455503,0.17152645,0.77396618,0.50577173,0.53945943,0.65360477,0.0919747,0.6609859,0.66172497,0.52290701,0.39465991,0.86253253,0.8636174,0.05251942,0.83685004,0.65510654,0.88458956,0.98130125,0.36119726,0.20793597,0.28175419,0.07075928,0.1055012,0.33977992,0.73343149,0.28916983,0.07496204,0.10626927,0.36943464,0.5238689,0.44321533,0.01271932,0.58033113,0.66270907,0.77943563,0.83716982,0.6652534,0.80125711,0.96450476,0.9740032,0.04487785,0.57827319,0.53336529,0.19478086,0.34893397,0.08537256
00:00:03:087,61,0.64563607,0.06783644,0.01201755,0.70735527,0.87310889,0.4873055,0.47777115,0.65944185,0.1200487,0.45996359,0.82720855,0.92148495,0.18377472,0.42536857,0.0862235,0.17559486,0.85922535,0.01279292,0.99741778,0.44103629,0.82327503,0.45205783,0.02593697,0.89156716,0.64920715,0.37257905,0.694523,0.72566853,0.79959704,0.00959374,0.60665314,0.93914568,0.57619115,0.1170611,0.62010984,0.64779735,0.10301538,0.45922441,0.05623004,0.28975806,0.58530328,0.16120617,0.04202722,0.68249004,0.09845662,0.04444232,0.74540653,0.18032164,0.79898303,0.99573147,0.16710485,0.09786927,0.5911104,0.05221003,0.68901583,0.54388514,0.86648779,0.76558557,0.59734549,0.23360111,0.2706666
00:00:03:124,61,0.52960013,0.18109357,0.76261984,0.80336952,0.34944253,0.70578861,0.91271418,0.17429837,0.91050544,0.17397861,0.06771779,0.82047425,0.94825012,0.39509901,0.93859731,0.10242121,0.44642341,0.43262499,0.44211157,0.49253932,0.20405336,0.82385508,0.99984327,0.6554693,0.2151959,0.6893981,0.67856528,0.45198992,0.384014,0.60553507,0.67514988,0.83303309,0.39578535,0.50436631,0.74129311,0.84887261,0.88245994,0.38909387,0.62384036,0.20130412,0.23886535,0.77559171,0.67421825,0.0005071,0.59397301,0.17424095,0.91754368,0.41029875,0.39162559,0.31111488,0.96864637,0.92618689,0.74151027,0.64799507,0.99793035,0.15703016,0.54091399,0.96024082,0.81304898,0.1205789,0.77450932
00:00:03:155,61,0.81783617,0.08758908,0.53302606,0.48783209,0.3409919,0.97245998,0.09176141,0.19962963,0.39875138,0.97804375,0.80385741,0.53192732,0.01017189,0.34017567,0.46069604,0.14660977,0.8892625,0.84350719,0.69951394,0.29605024,0.2490008,0.56229418,0.00015164,0.90357712,0.88355992,0.45598634,0.59510714,0.2371295,0.69151351,0.21322622,0.08558983,0.47327344,0.37881004,0.25682935,0.30616289,0.20549365,0.65435606,0.85637289,0.53386646,0.15353228,0.08792096,0.72382828,0.64300337,0.34140073,0.83982176,0.93629934,0.43582126,0.16176951,0.07204825,0.21494629,0.25513459,0.5561428,0.85184403,0.25802012,0.68783386,0.86154819,0.30866995,0.68407187,0.38897514,0.73818472,0.26107777
00:00:03:187,61,0.4006139,0.06464294,0.81775869,0.97897196,0.2250605,0.74008396,0.74022238,0.69459662,0.39722165,0.44559215,0.37704172,0.86832037,0.14514552,0.8811086,0.26963496,0.92867328,0.85481141,0.48999434,0.78711914,0.63824986,0.64930106,0.33092857,0.36897986,0.64493145,0.42064517,0.17283665,0.04441297,0.15328082,0.87682822,0.46258032,0.79462879,0.50384134,0.12554561,0.60349807,0.66109986,0.07666899,0.19799828,0.9372046,0.55905297,0.16906227,0.65053336,0.68601925,0.95472894,0.43654737,0.42018243,0.68885191,0.8261609,0.95286168,0.67190324,0.17604993,0.29870137,0.25258729,0.92868483,0.43859146,0.62075082,0.30707941,0.09051689,0.12865849,0.40494249,0.31183828,0.04465489
00:00:03:219,61,0.17348345,0.35620264,0.18633032,0.96387136,0.42487943,0.81572585,0.09317675,0.57408801,0.16172396,0.28476916,0.83452978,0.87414465,0.57314072,0.00599156,0.42819892,0.22587725,0.23120921,0.16611919,0.62045959,0.86982364,0.61249201,0.49860487,0.38902855,0.25948669,0.63298283,0.05247289,0.13067603,0.58704486,0.77467849,0.80007919,0.20552015,0.08589935,0.76898482,0.49984613,0.64697577,0.1731517,0.03446148,0.89354603,0.19376304,0.28139085,0.56903207,0.00127136,0.30427348,0.23043446,0.36227874,0.26458634,0.96705156,0.25181159,0.89168144,0.20504203,0.30655691,0.01159929,0.56802066,0.38985588,0.6695944,0.01305817,0.2163625,0.82264036,0.22866685,0.82975125,0.93400253
00:00:03:255,61,0.16225468,0.98564114,0.61434541,0.08328145,0.76414716,0.60578874,0.39770436,0.59483434,0.55981966,0.17115027,0.598648,0.90689631,0.76123881,0.7949216,0.62434878,0.93179625,0.43140524,0.41041284,0.6959347,0.03163944,0.43656853,0.64179666,0.92777882,0.80592888,0.14204249,0.92835926,0.77201026,0.63345045,0.24991129,0.92385115,0.13338799,0.00253947,0.27150014,0.99800598,0.80727732,0.49539852,0.31079024,0.01780124,0.95502233,0.45201247,0.66731494,0.10394324,0.82615109,0.79263721,0.39029757,0.55069456,0.22465895,0.2988948,0.60391405,0.05536873,0.7854324,0.51377658,0.10265573,0.84175345,0.05804169,0.0848563,0.85784881,0.62716208,0.9939996,0.59048271,0.89468628
